Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
348,Tim Moffett,RAI,WR,24,16,1,0,0,0,0,0,0,0,,0,6,77,12.83,0,0,,0,,,8,13.7,13.7,10.7,,113,
349,Chuck Scott,RAM,WR,23,9,0,0,0,0,0,0,0,0,,0,5,76,15.20,0,0,,0,,,8,12.6,12.6,10.1,,115,
350,Phil Smith,PHI,WR,26,3,2,0,0,0,0,0,0,0,,0,6,94,15.67,0,1,,0,,,8,14.4,14.9,11.4,,111,
351,Mike Akiu,HOU,WR,24,11,1,0,0,0,0,0,0,0,,0,4,67,16.75,0,0,,0,,,7,10.7,10.7,8.7,,119,
352,Ken Anderson,CIN,QB,37,8,0,11,23,171,1,2,0,0,,0,0,0,,0,0,,0,,,7,6.8,8.8,8.8,,61,
353,Jessie Clark,GNB,RB,26,5,1,0,0,0,0,0,18,41,2.28,0,6,41,6.83,0,1,,0,,,7,13.2,13.7,10.2,,121,
354,Reggie Collier,DAL,QB,25,4,1,8,15,96,1,2,6,53,8.83,0,0,0,,0,2,,0,,,7,7.1,10.1,9.1,,60,
355,Jonathan Hayes,KAN,TE,24,16,4,0,0,0,0,0,0,0,,0,8,69,8.63,0,0,,0,,,7,14.9,14.9,10.9,,58,
356,Robert Lavette,DAL,RB,23,16,0,0,0,0,0,0,10,6,0.60,0,5,31,6.20,1,3,,1,,,7,11.7,13.2,9.2,,122,
357,Mike Martin,CIN,WR,26,7,0,0,0,0,0,0,0,0,,0,3,68,22.67,0,0,,0,,,7,9.8,9.8,8.3,,118,
358,Vance Mueller,RAI,RB,22,15,1,0,0,0,0,0,13,30,2.31,0,6,54,9.00,0,1,,0,,,7,13.4,13.9,10.4,,120,
359,Andy Parker,RAI,TE,25,13,0,0,0,0,0,0,0,0,,0,2,8,4.00,1,0,,1,,,7,8.8,8.8,7.8,,59,
360,Tim Smith,HOU,WR,29,13,0,0,0,0,0,0,0,0,,0,4,72,18.00,0,0,,0,,,7,11.2,11.2,9.2,,117,
361,Jo-Jo Townsell,NYJ,WR,26,14,1,0,0,0,0,0,1,2,2.00,0,1,11,11.00,0,0,,1,,,7,8.3,8.3,7.8,,116,
362,Lew Barnes,CHI,WR,24,16,0,0,0,0,0,0,0,0,,0,4,54,13.50,0,5,,1,,,6,10.4,12.9,8.4,,120,
363,Derrick Crawford,SFO,WR,26,10,0,0,0,0,0,0,0,0,,0,5,70,14.00,0,1,,0,,,6,11.0,11.5,8.5,,122,
