Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
240,Desmond Clark,CHI,TE,28,16,16,0,0,0,0,0,0,0,,0,49,24,229,9.54,2,0,,2,,,35,58.9,61.9,46.9,,30,
241,Frisman Jackson,CLE,WR,26,12,0,0,0,0,0,0,0,0,,0,41,24,287,11.96,1,0,,1,,,35,58.7,61.7,46.7,,95,
242,Justin Griffith,ATL,FB,25,16,15,0,0,0,0,0,15,65,4.33,0,34,21,111,5.29,3,1,1,3,,,34,54.6,58.6,44.1,,74,
243,Ike Hilliard,TAM,WR,29,16,2,0,0,0,0,0,0,0,,0,53,35,282,8.06,1,0,,1,,,34,69.2,72.2,51.7,,96,
244,Tim Rattay,SFO,QB,28,4,4,56,97,667,5,6,7,18,2.57,0,0,0,0,,0,3,1,0,,,34,34.5,44.5,40.5,,44,
245,Jerald Sowell,NYJ,FB,31,16,14,0,0,0,0,0,1,1,1.00,1,38,28,155,5.54,2,1,,3,,,34,61.6,64.6,47.6,,75,
246,Chris Baker,NYJ,TE,26,8,8,0,0,0,0,0,0,0,,0,25,18,269,14.94,1,1,,1,,,33,50.9,53.9,41.9,,32,
247,Adam Bergen,ARI,TE,22,16,9,0,0,0,0,0,0,0,,0,43,28,270,9.64,1,0,,1,,,33,61.0,64.0,47.0,,31,
248,Ron Dayne,DEN,RB,27,10,0,0,0,0,0,0,53,270,5.09,1,3,3,17,5.67,0,1,1,1,,,33,35.7,39.7,34.2,,76,
249,Troy Walters,IND,WR,29,16,1,0,0,0,0,0,0,0,,0,19,14,152,10.86,3,0,,3,,,33,47.2,50.2,40.2,,97,
250,Rock Cartwright,WAS,FB,26,16,0,0,0,0,0,0,27,199,7.37,2,4,2,23,11.50,0,1,1,2,,,32,34.2,38.2,33.2,,77,
251,Heath Evans,2TM,FB,27,12,3,0,0,0,0,0,52,192,3.69,0,17,14,105,7.50,0,0,,0,1,,32,45.7,51.7,38.7,,78,
252,Billy McMullen,PHI,WR,25,16,0,0,0,0,0,0,0,0,,0,38,18,268,14.89,1,1,1,1,,,31,48.8,52.8,39.8,,98,
253,Obafemi Ayanbadejo,ARI,FB,30,16,2,0,0,0,0,0,22,46,2.09,0,45,34,231,6.79,0,1,1,0,2,,30,63.7,67.7,46.7,,81,
254,Ciatrick Fason,MIN,RB,23,13,0,0,0,0,0,0,32,62,1.94,4,0,0,0,,0,1,,4,,,30,30.2,30.2,30.2,,80,
255,Kris Mangum,CAR,TE,32,14,9,0,0,0,0,0,0,0,,0,35,23,202,8.78,2,0,1,2,,,30,53.2,57.2,41.7,,33,
256,Lorenzo Neal*,SDG,FB,35,16,15,0,0,0,0,0,29,98,3.38,0,29,24,145,6.04,1,0,,1,,,30,54.3,57.3,42.3,,79,
257,Sage Rosenfels,MIA,QB,27,4,1,34,61,462,4,3,6,15,2.50,0,0,0,0,,0,1,,0,,,30,30.0,36.0,33.0,,45,
258,Johnnie Morton,SFO,WR,34,13,10,0,0,0,0,0,0,0,,0,44,21,288,13.71,0,0,,0,,,29,49.8,52.8,39.3,,99,
259,Michael Gaines,CAR,TE,25,11,6,0,0,0,0,0,0,0,,0,16,12,155,12.92,2,0,,2,,,28,39.5,42.5,33.5,,34,
260,Nick Goings,CAR,RB,27,16,1,0,0,0,0,0,37,133,3.59,0,20,14,151,10.79,0,1,,0,,,28,42.4,48.4,35.4,,82,
261,Lamar Gordon,PHI,RB,25,14,4,0,0,0,0,0,54,182,3.37,1,17,11,79,7.18,0,3,2,1,,,28,39.1,44.1,33.6,,83,
262,Shaud Williams,BUF,RB,25,16,0,0,0,0,0,0,45,161,3.58,0,23,17,118,6.94,0,0,,0,,,28,44.9,50.9,36.4,,84,
263,Bubba Franks,GNB,TE,27,10,8,0,0,0,0,0,0,0,,0,39,25,207,8.28,1,0,,1,,,27,51.7,54.7,39.2,,35,
264,Quincy Morgan,PIT,WR,28,16,0,0,0,0,0,0,0,0,,0,18,9,150,16.67,2,1,,2,,,27,36.0,39.0,31.5,,101,
265,Billy Volek,TEN,QB,29,6,1,50,88,474,4,2,1,3,3.00,0,0,0,0,,0,3,2,0,,,27,27.3,34.3,29.3,,46,
266,Kevin Walter,CIN,WR,24,16,2,0,0,0,0,0,0,0,,0,29,19,211,11.11,1,0,,1,,,27,46.1,49.1,36.6,,100,
267,Cedric Benson,CHI,RB,23,9,1,0,0,0,0,0,67,272,4.06,0,1,1,3,3.00,0,1,1,0,,,26,26.5,30.5,26.0,,86,
268,Bernard Berrian,CHI,WR,25,11,2,0,0,0,0,0,2,31,15.50,0,25,13,246,18.92,0,1,1,0,,,26,38.7,42.7,32.2,,102,
269,Jerricho Cotchery,NYJ,WR,23,16,1,0,0,0,0,0,1,4,4.00,0,32,19,251,13.21,0,2,,0,,,26,44.5,47.5,35.0,,104,
270,Jeremi Johnson,CIN,FB,25,16,11,0,0,0,0,0,8,14,1.75,0,19,12,65,5.42,3,2,,3,,,26,37.9,37.9,31.9,,85,
271,Jarrett Payton,TEN,RB,25,13,0,0,0,0,0,0,33,105,3.18,2,10,6,30,5.00,0,0,,2,,,26,31.5,34.5,28.5,,87,
272,Charles Rogers,DET,WR,24,9,3,0,0,0,0,0,0,0,,0,31,14,197,14.07,1,0,,1,,,26,39.7,42.7,32.7,,103,
273,Jim Sorgi,IND,QB,25,5,0,42,61,444,3,1,12,1,0.08,0,0,0,0,,0,1,1,0,,,26,25.9,30.9,26.9,,47,
274,Andre' Davis,NWE,WR,26,9,4,0,0,0,0,0,0,0,,0,24,9,190,21.11,1,0,,1,,,25,34.0,37.0,29.5,,107,
275,Randy Hymes,BAL,WR,26,16,3,0,2,0,0,0,0,0,,0,31,11,132,12.00,2,0,,2,,,25,36.2,39.2,30.7,,105,
276,Jerome Mathis*+,HOU,WR,22,12,0,0,0,0,0,0,0,0,,0,13,5,65,13.00,1,3,,3,,,25,29.5,29.5,27.0,,108,
277,LeRon McCoy,ARI,WR,23,10,4,0,0,0,0,0,0,0,,0,30,18,191,10.61,1,0,,1,,,25,43.1,46.1,34.1,,106,
278,Matt Schobel,CIN,TE,27,16,1,0,0,0,0,0,0,0,,0,25,18,193,10.72,1,1,1,1,1,,25,43.3,47.3,34.3,,36,
279,Ken Dorsey,SFO,QB,24,3,3,48,90,481,2,2,4,11,2.75,0,0,0,0,,0,2,1,0,,1,24,24.3,30.3,26.3,,48,
280,William Henderson,GNB,FB,34,16,8,0,0,0,0,0,1,-5,-5.00,0,34,30,264,8.80,0,1,1,0,,,24,53.9,57.9,38.9,,91,
281,Noah Herron,2TM,RB,23,7,0,0,0,0,0,0,48,123,2.56,2,0,0,0,,0,0,,2,,,24,24.3,27.3,24.3,,89,
282,Dane Looker,STL,WR,29,16,0,0,0,0,0,0,0,0,,0,27,23,237,10.30,0,0,,0,,,24,46.7,49.7,35.2,,109,
